Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,,
DARWIN ABORIGINAL & ISLANDER WOMENS SHELTER INC,Withheld,N/A,Withheld,Withheld,Withheld,Financial Crisis and Material Aid - Emergency Relief,,Darwin Suburbs,,,,-12.417175,130.938231,Y,,
Darwin Skills Development Scheme,Darwin Skills Development Scheme,<a href='http://www.dsds.org.au'>http://www.dsds.org.au</a>,1 Tang Street COCONUT GROVE NT 0810,COCONUT GROVE,810,Financial Crisis and Material Aid - Emergency Relief,Coconut Grove,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.399151,130.85259,N,,
Dawn House Inc.,Withheld,<a href='http://www.dawnhouse.org.au'>http://www.dawnhouse.org.au</a>,Withheld,Withheld,Withheld,Financial Crisis and Material Aid - Emergency Relief,,Darwin Suburbs,,,,-12.417175,130.938231,Y,,
Dianella Community Health,GP Super Clinic,<a href='http://www.dianella.org.au'>http://www.dianella.org.au</a>,42-48 Coleraine St BROADMEADOWS VIC 3047,BROADMEADOWS,3047,Financial Crisis and Material Aid - Emergency Relief,Broadmeadows,Tullamarine - Broadmeadows,Melbourne - North West,Hume (C),Calwell,-37.6770218,144.9181146,N,,
Dianella Community Health,Meadow Heights,<a href='http://www.dianella.org.au'>http://www.dianella.org.au</a>,21-27 Hudson Cct MEADOW HEIGHTS VIC 3048,MEADOW HEIGHTS,3048,Financial Crisis and Material Aid - Emergency Relief,Meadow Heights,Tullamarine - Broadmeadows,Melbourne - North West,Hume (C),Calwell,-37.6506965,144.920417,N,,
Dianella Community Health,Craigieburn,<a href='http://www.dianella.org.au'>http://www.dianella.org.au</a>,55 Craigieburn Rd CRAIGIEBURN VIC 3064,CRAIGIEBURN,3064,Financial Crisis and Material Aid - Emergency Relief,Craigieburn - Mickleham,Tullamarine - Broadmeadows,Melbourne - North West,Hume (C),Calwell,-37.598717,144.93688,N,,
Douglas Shire Community Services Association Incorporated,Douglas Shire Community Services Association Ltd,N/A,20 Mill Street MOSSMAN QLD 4873,MOSSMAN,4873,Financial Crisis and Material Aid - Emergency Relief,Daintree,Port Douglas - Daintree,Cairns,Cairns (R),Leichhardt,-16.458656,145.375633,N,,
Dungog Information & Neighbourhood Service Inc,Emergency Cash Relief,<a href='http://www.neighbourcare.org.au/who-we-are/'>http://www.neighbourcare.org.au/who-we-are/</a>,103 Dowling St DUNGOG NSW 2420,DUNGOG,2420,Financial Crisis and Material Aid - Emergency Relief,Dungog,Lower Hunter,Hunter Valley exc Newcastle,Dungog (A),Paterson,-32.4043988,151.7573452,N,,
Durri Aboriginal Corporation Medical Service,Kempsey,<a href='http://www.durri.yolasite.com'>http://www.durri.yolasite.com</a>,15-19 York Lane KEMPSEY NSW 2440,KEMPSEY,2440,Financial Crisis and Material Aid - Emergency Relief,Kempsey,Kempsey - Nambucca,Mid North Coast,Kempsey (A),Cowper,-31.0794504,152.843154,N,,
Eacham Community Help Organisation Inc.,Malanda,<a href='http://www.echomalanda.org.au'>http://www.echomalanda.org.au</a>,3 English Street MALANDA QLD 4885,MALANDA,4885,Financial Crisis and Material Aid - Emergency Relief,Malanda - Yungaburra,Tablelands (East) - Kuranda,Cairns,Tablelands (R),Kennedy,-17.3527968,145.5921698,N,,
Eagleby Community Association Inc,Eagleby Community Centre,<a href='http://www.eagleby.org.au'>http://www.eagleby.org.au</a>,8-16 Cowper Avenue EAGLEBY QLD 4207,EAGLEBY,4207,Financial Crisis and Material Aid - Emergency Relief,Eagleby,Beenleigh,Logan - Beaudesert,Logan (C),Forde,-27.7037878,153.209804,N,,
Edon Place Women's Domestic Violence Service Inc,Withheld,<a href='http://www.edonplace.org.au/index.html'>http://www.edonplace.org.au/index.html</a>,Withheld,Withheld,4607,Financial Crisis and Material Aid - Emergency Relief,,,,,,-24.84371,152.277954,Y,,
Emerald & District Social Development Ass. Inc.,Emerald Neighbourhood Centre,<a href='http://www.emeraldneighbourhoodcentre.com.au'>http://www.emeraldneighbourhoodcentre.com.au</a>,17 Yamala Street EMERALD QLD 4720,EMERALD,4720,Financial Crisis and Material Aid - Emergency Relief,Emerald,Central Highlands (Qld),Fitzroy,Central Highlands (R),Flynn,-23.522177,148.1598921,N,,
Emergency & Long Term Accommodation Moranbah Inc.,ELAM Inc,N/A,9 Griffin Street Moranbah QLD 4744,Moranbah,4744,Financial Crisis and Material Aid - Emergency Relief,Moranbah,Bowen Basin - North,Mackay,Isaac (R),Capricornia,-22.0011714,148.0453458,N,,
Esperance Care Services Incorporated,Esperance Care Services Inc,N/A,2 Gilpin St ESPERANCE WA 6450,ESPERANCE,6450,Financial Crisis and Material Aid - Emergency Relief,Esperance,Esperance,Western Australia - Outback,Esperance (S),O'Connor,-33.84128,121.88805,N,,
Euroa Community Education Centre Inc,Euroa Community Education Centre Inc,<a href='http://www.ecec.vic.edu.au'>http://www.ecec.vic.edu.au</a>,46-50 Binney Street Euroa VIC 3666,Euroa,3666,Financial Crisis and Material Aid - Emergency Relief,Euroa,Upper Goulburn Valley,Hume,Strathbogie (S),Murray,-36.7502301,145.5698889,N,,
FORWAARD,Stuart Park,<a href='http://www.forwaard.com.au'>http://www.forwaard.com.au</a>,33 Charles St STUART PARK NT 0820,STUART PARK,820,Financial Crisis and Material Aid - Emergency Relief,Stuart Park,Darwin City,Darwin,Darwin (C),Solomon,-12.443619,130.845802,N,,
Fremantle Multicultural Centre Inc,East Perth,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,33 Moore St EAST PERTH WA 6004,EAST PERTH,6004,Financial Crisis and Material Aid - Emergency Relief,Perth City,Perth City,Perth - Inner,Perth (C),Perth,-31.9537784,115.8683978,N,,
Fremantle Multicultural Centre Inc,Mirrabooka,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,21 Sudbury Road MIRRABOOKA WA 6061,MIRRABOOKA,6061,Financial Crisis and Material Aid - Emergency Relief,Dianella,Stirling,Perth - North West,Stirling (C),Stirling,-31.868961,115.859588,N,,
Fremantle Multicultural Centre Inc,Fremantle,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,241-243 High Street Fremantle WA 6160,Fremantle,6160,Financial Crisis and Material Aid - Emergency Relief,Fremantle,Fremantle,Perth - South West,Fremantle (C),Fremantle,-32.0521259,115.7547782,N,,
Fremantle Multicultural Centre Inc,NLSC,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,188 Winterfold Road Kardinya WA 6163,Kardinya,6163,Financial Crisis and Material Aid - Emergency Relief,Murdoch - Kardinya,Melville,Perth - South West,Melville (C),Fremantle,-32.0735013,115.8137439,N,,
Fremantle Multicultural Centre Inc,Cockburn,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,11 Wentworth Pde Success WA 6164,Success,6164,Financial Crisis and Material Aid - Emergency Relief,Success - Hammond Park,Cockburn,Perth - South West,Cockburn (C),Fremantle,-32.1297678,115.8532601,N,,
Fremantle Multicultural Centre Inc,Kwinana,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,Lot 106 Robbos Way KWINANA TOWN CENTRE WA 6167,KWINANA TOWN CENTRE,6167,Financial Crisis and Material Aid - Emergency Relief,Parmelia - Orelia,Kwinana,Perth - South West,Kwinana (T),Brand,-32.243,115.8135274,N,,
Fremantle Multicultural Centre Inc,Mandurah,<a href='http://www.fmcwa.com.au'>http://www.fmcwa.com.au</a>,63 Ormsby Terrace Mandurah WA 6210,Mandurah,6210,Financial Crisis and Material Aid - Emergency Relief,Mandurah,Mandurah,Mandurah,Mandurah (C),Canning,-32.52598,115.72024,N,,
Geelong Ethnic Community Councils Inc,Diversitat Financial Counselling,<a href='http://www.diversitat.org.au'>http://www.diversitat.org.au</a>,153 Pakington St Geelong West VIC 3218,Geelong West,3218,Financial Crisis and Material Aid - Emergency Relief,Geelong West - Hamlyn Heights,Geelong,Geelong,Greater Geelong (C),Corio,-38.1409381,144.347421,N,,
Geraldton Resource Centre,Geraldton,<a href='http://www.grc.asn.au'>http://www.grc.asn.au</a>,Offc 1 114 Sanford St GERALDTON WA 6530,GERALDTON,6530,Financial Crisis and Material Aid - Emergency Relief,Geraldton,Mid West,Western Australia - Outback,Geraldton-Greenough (C),Durack,-28.776776,114.6090643,N,,
Gippsland Lakes Community Health,Bairnsdale,<a href='http://www.glch.org.au'>http://www.glch.org.au</a>,281 Main Street Bairnsdale VIC 3875,Bairnsdale,3875,Financial Crisis and Material Aid - Emergency Relief,Bairnsdale,Gippsland - East,Latrobe - Gippsland,East Gippsland (S),Gippsland,-37.8279111,147.6240298,N,,
Gippsland Lakes Community Health,Lakes Entrance,<a href='http://www.glch.org.au'>http://www.glch.org.au</a>,18-26 Jemmeson Street LAKES ENTRANCE VIC 3909,LAKES ENTRANCE,3909,Financial Crisis and Material Aid - Emergency Relief,Lakes Entrance,Gippsland - East,Latrobe - Gippsland,East Gippsland (S),Gippsland,-37.8739014,147.998305,N,,
Gladstone Regional Council,Gladstone Regional Council Community Advisory Serv,<a href='http://www.gladstone.qld.gov.au/'>http://www.gladstone.qld.gov.au/</a>,142 Goondoon St GLADSTONE CENTRAL QLD 4680,GLADSTONE CENTRAL,4680,Financial Crisis and Material Aid - Emergency Relief,Gladstone,Gladstone - Biloela,Fitzroy,Gladstone (R),Flynn,-23.8444034,151.2572133,N,,
Gold Coast Youth Service Inc,Gold Coast Youth Service Inc.,<a href='http://www.goldcoastyouthservice.com'>http://www.goldcoastyouthservice.com</a>,15 Oak Avenue MIAMI QLD 4220,MIAMI,4220,Financial Crisis and Material Aid - Emergency Relief,Miami,Broadbeach - Burleigh,Gold Coast,Gold Coast (C),Moncrieff,-28.064019,153.4368381,N,,
Goodna Youth Services Inc,Goodna Youth Services Inc,<a href='http://www.goodnayouthservices.org.au'>http://www.goodnayouthservices.org.au</a>,"Lot 53, 11 William Street GOODNA QLD 4300 ",GOODNA,4300,Financial Crisis and Material Aid - Emergency Relief,Goodna,Springfield - Redbank,Ipswich,Ipswich (C),Oxley,-27.6084793,152.8952671,N,,
Goondir Aboriginal & Torres Strait Islander Corporation for Health Service,Goondir,<a href='http://www.goondir.org.au'>http://www.goondir.org.au</a>,4 Jimbour Street DALBY QLD 4405,DALBY,4405,Financial Crisis and Material Aid - Emergency Relief,Wambo,Darling Downs - East,Darling Downs - Maranoa,Western Downs (R),Maranoa,-27.1864942,151.2625255,N,,
Graham House Community Centre Inc.,Graham House Community Centre,<a href='http://grahamhouse.org.au/'>http://grahamhouse.org.au/</a>,"Lot 4, 21 Taylor Street East MURGON QLD 4605 ",MURGON,4605,Financial Crisis and Material Aid - Emergency Relief,Kingaroy Region - North,Burnett,Wide Bay,South Burnett (R),Wide Bay,-26.2470214,151.9427535,N,,
Gundagai Neighbourhood Centre,Gundagai Neighbourhood Centre,<a href='http://www.gundagai.nsw.gov.au/gundagai-neighbourhood-centre.aspx'>http://www.gundagai.nsw.gov.au/gundagai-neighbourhood-centre.aspx</a>,Mirrabooka 245 Sheridan Street GUNDAGAI NSW 2722,GUNDAGAI,2722,Financial Crisis and Material Aid - Emergency Relief,Gundagai,Wagga Wagga,Riverina,Gundagai (A),Riverina,-35.0625961,148.1016288,N,,
Guriwal Aboriginal Corporation,GURIWAL ABORIGINAL CORPORATION,<a href='http://www.guriwal.com.au/'>http://www.guriwal.com.au/</a>,Yarra Bay House 1 Elaroo Ave PHILLIP BAY NSW 2036,PHILLIP BAY,2036,Financial Crisis and Material Aid - Emergency Relief,Malabar - La Perouse - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,Randwick (C),Kingsford Smith,-33.9821658,151.2303496,N,,
Harvest Rain Christian Care Ltd,Harvest Rain Christian Care,<a href='http://tivolimc.com.au/'>http://tivolimc.com.au/</a>,154 Brisbane Street IPSWICH QLD 4305,IPSWICH,4305,Financial Crisis and Material Aid - Emergency Relief,Ipswich - Central,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6145668,152.7563649,N,,
Healesville Inter Church Community Care Inc.,Healesville Inter Church Community Care Inc.,<a href='http://hicci.org.au/'>http://hicci.org.au/</a>,231 Maroondah Highway Healesville VIC 3777,Healesville,3777,Financial Crisis and Material Aid - Emergency Relief,Healesville - Yarra Glen,Yarra Ranges,Melbourne - Outer East,Yarra Ranges (S),Casey,-37.6535028,145.5176422,N,,
Helping Hand Association Inc.,Helping Hand,N/A,2 Marlborough St LONGFORD TAS 7301,LONGFORD,7301,Financial Crisis and Material Aid - Emergency Relief,Longford,North East,Launceston and North East,Northern Midlands (M),Lyons,-41.5952586,147.1217417,N,,
Hinchinbrook Community Support Centre Incorporated,Hinchinbrook Community Support Centre,<a href='http://www.hcsc.org.au'>http://www.hcsc.org.au</a>,52 McIlwraith Street Ingham QLD 4850,Ingham,4850,Financial Crisis and Material Aid - Emergency Relief,Ingham,Charters Towers - Ayr - Ingham,Townsville,Hinchinbrook (S),Kennedy,-18.6519224,146.1560778,N,,
HK Training & Consultancy Pty Ltd,ONE MILE DAM,N/A,ONE MILE DAM COMMUNITY DARWIN NT 0800,DARWIN,800,Financial Crisis and Material Aid - Emergency Relief,Darwin City,Darwin City,Darwin,Darwin (C),Solomon,-12.4634411,130.8456421,N,,
HK Training & Consultancy Pty Ltd,KULALUK,N/A,KULALUK COMMUNITY COCONUT GROVE NT 0810,COCONUT GROVE,810,Financial Crisis and Material Aid - Emergency Relief,Coconut Grove,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.3961417,130.8502369,N,,
HK Training & Consultancy Pty Ltd,CASCOM,N/A,Unit 3 17 Scaturchio Street CASUARINA NT 0810,CASUARINA,810,Financial Crisis and Material Aid - Emergency Relief,Brinkin - Nakara,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.372508,130.880949,N,,
HK Training & Consultancy Pty Ltd,BAGOT,N/A,BAGOT COMMUNITY LUDMILLA NT 0820,LUDMILLA,820,Financial Crisis and Material Aid - Emergency Relief,Ludmilla - The Narrows,Darwin City,Darwin,Darwin (C),Solomon,-12.414094,130.8489194,N,,
HK Training & Consultancy Pty Ltd,MINMARAMA PARK,N/A,MINMARAMA PARK COMMUNITY LUDMILLA NT 0820,LUDMILLA,820,Financial Crisis and Material Aid - Emergency Relief,Ludmilla - The Narrows,Darwin City,Darwin,Darwin (C),Solomon,-12.4113124,130.8488755,N,,
HK Training & Consultancy Pty Ltd,ACACIA LARRAKIA,N/A,ACACIA LARRAKIA COMMUNITY ACACIA NT 0822,ACACIA,822,Financial Crisis and Material Aid - Emergency Relief,Weddell,Litchfield,Darwin,Litchfield (M),Lingiari,-12.795699,131.125127,N,,
HK Training & Consultancy Pty Ltd,BELYUEN,N/A,BELYUEN COMMUNITY BELYUEN NT 0822,BELYUEN,822,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Belyuen (S),Lingiari,-12.5381844,130.6831804,N,,
HK Training & Consultancy Pty Ltd,GUNBALANYA,N/A,GUNBALANYA COMMUNITY GUNBALANYA NT 0822,GUNBALANYA,822,Financial Crisis and Material Aid - Emergency Relief,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-12.3469383,133.049232,N,,
HK Training & Consultancy Pty Ltd,MINJILANG,N/A,MINJILANG COMMUNITY MINJILANG NT 0822,MINJILANG,822,Financial Crisis and Material Aid - Emergency Relief,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-11.1447059,132.5724813,N,,
HK Training & Consultancy Pty Ltd,WARRUWI,N/A,WARRUWI COMMUNITY WARRUWI NT 0822,WARRUWI,822,Financial Crisis and Material Aid - Emergency Relief,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-11.6578625,133.3782542,N,,
HK Training & Consultancy Pty Ltd,KNUCKEY LAGOON,N/A,KNUCKEY LAGOON KNUCKEY LAGOON NT 0828,KNUCKEY LAGOON,828,Financial Crisis and Material Aid - Emergency Relief,Berrimah,Darwin Suburbs,Darwin,Litchfield (M),Solomon,-12.4245418,130.9472374,N,,
HK Training & Consultancy Pty Ltd,PALMERSTON INDIGENOUS VILLAGE,N/A,PALMERSTON INDIGENOUS VILLAGE PALMERSTON NT 0830,PALMERSTON,830,Financial Crisis and Material Aid - Emergency Relief,Howard Springs,Litchfield,Darwin,Litchfield (M),Lingiari,-12.489951,131.013585,N,,
HK Training & Consultancy Pty Ltd,AMANGUL,N/A,AMANGUL COMMUNITY ADELAIDE RIVER NT 0846,ADELAIDE RIVER,846,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Coomalie (S),Lingiari,-13.1678627,131.1557571,N,,
HK Training & Consultancy Pty Ltd,JABIRU,N/A,JABIRU JABIRU NT 0886,JABIRU,886,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-12.6694827,132.8371854,N,,
HK Training & Consultancy Pty Ltd,MUDGINBERRI,N/A,MUDGINBERRI COMMUNITY MUDGINBERRI NT 0886,MUDGINBERRI,886,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-12.6694827,132.8371854,N,,
Hobart City Mission Inc.,Hobart City Mission,<a href='http://www.hobartcitymission.org.au'>http://www.hobartcitymission.org.au</a>,50 Barrack Street Hobart TAS 7000,Hobart,7000,Financial Crisis and Material Aid - Emergency Relief,Hobart,Hobart Inner,Hobart,Hobart (C),Denison,-42.8853257,147.3216819,N,,
Hobart City Mission Inc.,Hobart City Mission,<a href='http://www.hobartcitymission.org.au'>http://www.hobartcitymission.org.au</a>,11-13 Main Rd MOONAH TAS 7009,MOONAH,7009,Financial Crisis and Material Aid - Emergency Relief,Moonah,Hobart - North West,Hobart,Glenorchy (C),Denison,-42.8502528,147.2981069,N,,
IFYS Limited,IFYS Limited - Maroochydore,<a href='http://www.ifys.com.au'>http://www.ifys.com.au</a>,108 Parker Street MAROOCHYDORE QLD 4558,MAROOCHYDORE,4558,Financial Crisis and Material Aid - Emergency Relief,Maroochydore - Kuluin,Maroochy,Sunshine Coast,Sunshine Coast (R),Fairfax,-26.6592179,153.0958789,N,,
Illawarra Aboriginal Corporation,Kenny Street,<a href='http://www.iac.org.au'>http://www.iac.org.au</a>,22 Kenny Street WOLLONGONG NSW 2500,WOLLONGONG,2500,Financial Crisis and Material Aid - Emergency Relief,Wollongong,Wollongong,Illawarra,Wollongong (C),Cunningham,-34.4276853,150.8914598,N,,
Innisfail Youth and Family Care Inc,Innisfail Youth and Family Care Inc,N/A,Level 2/28 Rankin Street INNISFAIL QLD 4860,INNISFAIL,4860,Financial Crisis and Material Aid - Emergency Relief,Innisfail,Innisfail - Cassowary Coast,Cairns,Cassowary Coast (R),Kennedy,-17.5239478,146.0308071,N,,
Ipswich Assist,Ipswich Assist,<a href='http://ipswichassist.org.au'>http://ipswichassist.org.au</a>,20A Limestone St IPSWICH QLD 4305,IPSWICH,4305,Financial Crisis and Material Aid - Emergency Relief,Ipswich - Central,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6164651,152.7633966,N,,
Ipswich Housing and Support Services Inc.,Ipswich Housing & Support Services Inc,<a href='http://www.ihssi.org.au/'>http://www.ihssi.org.au/</a>,14 South Station Road BOOVAL QLD 4304,BOOVAL,4304,Financial Crisis and Material Aid - Emergency Relief,Ipswich - East,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6102858,152.7900838,N,,
Italo Australian Welfare & Cultural Centre Inc.,IAWCC - Perth Inner,<a href='http://www.yacwa.org.au/pling/service/italo-australian-welfare-and-cultural-centre-inc/'>http://www.yacwa.org.au/pling/service/italo-australian-welfare-and-cultural-centre-inc/</a>,209 Fitzgerald St PERTH WA 6000,PERTH,6000,Financial Crisis and Material Aid - Emergency Relief,Perth City,Perth City,Perth - Inner,Vincent (T),Perth,-31.9398,115.8561,N,,
Jacaranda Community Centre Inc,Jacaranda Community Centre Inc,<a href='http://jacarandacommunitycentre.org.au'>http://jacarandacommunitycentre.org.au</a>,146 Epsom Avenue BELMONT WA 6104,BELMONT,6104,Financial Crisis and Material Aid - Emergency Relief,Belmont - Ascot - Redcliffe,Belmont - Victoria Park,Perth - South East,Belmont (C),Swan,-31.94304,115.93956,N,,
Junction Australia Ltd,Kangaroo Island Community Centre,<a href='http://www.junctionaustralia.org.au'>http://www.junctionaustralia.org.au</a>,9 Murray Street Kingscote SA 5223,Kingscote,5223,Financial Crisis and Material Aid - Emergency Relief,Kangaroo Island,Fleurieu - Kangaroo Island,South Australia - South East,Kangaroo Island (DC),Mayo,-35.6553311,137.6377931,N,,
Junee Community Centre Inc,Junee,<a href='http://www.livingjunee.com.au'>http://www.livingjunee.com.au</a>,16 Belmore Street Junee NSW 2663,Junee,2663,Financial Crisis and Material Aid - Emergency Relief,Junee,Wagga Wagga,Riverina,Junee (A),Riverina,-34.8713702,147.5857584,N,,
Jungarni-Jutiya Indigenous Corporation,Jungarni-Jutiya Indigenous Corporation,<a href='http://www.jungarni.org/'>http://www.jungarni.org/</a>,29 Thomas Street HALLS CREEK WA 6770,HALLS CREEK,6770,Financial Crisis and Material Aid - Emergency Relief,Halls Creek,Kimberley,Western Australia - Outback,Halls Creek (S),Durack,-18.2243987,127.6692461,N,,
Kalwun Development Corporation Ltd,Varsity Lakes,<a href='http://www.kalwun.com.au'>http://www.kalwun.com.au</a>,Unit 1 14 Cassia Dr VARSITY LAKES QLD 4227,VARSITY LAKES,4227,Financial Crisis and Material Aid - Emergency Relief,Varsity Lakes,Robina,Gold Coast,Gold Coast (C),McPherson,-28.0996889,153.4185132,N,,
Karralika Programs Inc,Karralika head office,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,Canberra Institute Of Technology 160 Ainsworth St PHILLIP ACT 2606,PHILLIP,2606,Financial Crisis and Material Aid - Emergency Relief,Phillip,Woden,Australian Capital Territory,Unincorporated ACT,Canberra,-35.3478475,149.0953871,N,,
Karralika Programs Inc,Karralika Community Programs,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,E Block CIT Southern Campus Ainsworth St P PHILLIP ACT 2606,PHILLIP,2606,Financial Crisis and Material Aid - Emergency Relief,Phillip,Woden,Australian Capital Territory,Unincorporated ACT,Canberra,-35.3490483,149.0945332,N,,
Karralika Programs Inc,Karralika Family Program,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,256 Bugden Ave Fadden ACT 2904,Fadden,2904,Financial Crisis and Material Aid - Emergency Relief,Fadden,Tuggeranong,Australian Capital Territory,Unincorporated ACT,Canberra,-35.4038334,149.1245559,N,,
Karralika Programs Inc,Karralika Adult Program,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,Karralika Therapeutic Community 155 Keverstone Cct ISABELLA PLAINS ACT 2905,ISABELLA PLAINS,2905,Financial Crisis and Material Aid - Emergency Relief,Isabella Plains,Tuggeranong,Australian Capital Territory,Unincorporated ACT,Canberra,-35.433131,149.0889334,N,,
Katherine Women's Crisis Centre,Withheld,N/A,Withheld,Withheld,Withheld,Financial Crisis and Material Aid - Emergency Relief,,Katherine,,,,-15.836494,133.500819,Y,,
Kyabra Community Association Inc,Kyabra Community Association Inc,<a href='http://www.kyabra.org'>http://www.kyabra.org</a>,Kyabra Street RUNCORN QLD 4113,RUNCORN,4113,Financial Crisis and Material Aid - Emergency Relief,Runcorn,Sunnybank,Brisbane - South,Brisbane (C),Moreton,-27.6100058,153.0697043,N,,
Laidley and Districts Community Organisation Inc.,Laidley and Districts Community Organisation Inc,<a href='http://www.ourcommunitycentre.org.au'>http://www.ourcommunitycentre.org.au</a>,13 Mary Street LAIDLEY QLD 4341,LAIDLEY,4341,Financial Crisis and Material Aid - Emergency Relief,Lockyer Valley - East,Ipswich Hinterland,Ipswich,Lockyer Valley (R),Wright,-27.6389981,152.3933504,N,,
Larrakia Nation Aboriginal Corporation,Larrakia Nation Community Services,<a href='http://www.larrakia.com'>http://www.larrakia.com</a>,76 Dick Ward Drive COCONUT GROVE NT 0810,COCONUT GROVE,810,Financial Crisis and Material Aid - Emergency Relief,Coconut Grove,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.401716,130.852854,N,,
Latrobe Community Health Service Incorporated,Latrobe Community Health Service,<a href='http://www.lchs.com.au'>http://www.lchs.com.au</a>,81-87 Buckley Street MORWELL VIC 3840,MORWELL,3840,Financial Crisis and Material Aid - Emergency Relief,Morwell,Latrobe Valley,Latrobe - Gippsland,Latrobe (C),Gippsland,-38.2357784,146.3999177,N,,
Launceston Benevolent Society Inc.,Launceston Benevolent Society,<a href='http://www.benevolent.org.au'>http://www.benevolent.org.au</a>,5 Innocent St KINGS MEADOWS TAS 7249,KINGS MEADOWS,7249,Financial Crisis and Material Aid - Emergency Relief,Kings Meadows - Punchbowl,Launceston,Launceston and North East,Launceston (C),Bass,-41.4642004,147.1590373,N,,
Launceston City Mission Inc.,Launceston City Mission - Family Services ER,<a href='http://www.citymission.org.au'>http://www.citymission.org.au</a>,46 Frederick St 46 Frederick St LAUNCESTON TAS 7250,LAUNCESTON,7250,Financial Crisis and Material Aid - Emergency Relief,Launceston,Launceston,Launceston and North East,Launceston (C),Bass,-41.4416469,147.1386961,N,,
LAUNCH HOUSING LIMITED,Launch Housing Limited,<a href='http://www.launchhousing.org.au'>http://www.launchhousing.org.au</a>,"Unit 1A  68 Oxford Street, COLLINGWOOD, VIC, 3066",COLLINGWOOD,3066,Financial Crisis and Material Aid - Emergency Relief,Collingwood,Yarra,Melbourne - Inner,Yarra (C),Melbourne,-37.803526,144.985039,N,,
Laverton Community Integrated Services Inc,Laverton Community Centre,<a href='http://www.lcis.org.au'>http://www.lcis.org.au</a>,12 Crown St Laverton VIC 3028,Laverton,3028,Financial Crisis and Material Aid - Emergency Relief,Laverton,Wyndham,Melbourne - West,Hobsons Bay (C),Lalor,-37.866563,144.767776,N,,
Leichhardt Community Group Inc,Leichhardt-One Mile Community Centre,<a href='http://www.lcginc.org.au'>http://www.lcginc.org.au</a>,1-17 Denman Street LEICHHARDT QLD 4305,LEICHHARDT,4305,Financial Crisis and Material Aid - Emergency Relief,Leichhardt - One Mile,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6266472,152.7419066,N,,
LifeHouse Care,Lifehouse Care,<a href='http://www.lifehousecare.org.au'>http://www.lifehousecare.org.au</a>,12 Earl St COFFS HARBOUR NSW 2450,COFFS HARBOUR,2450,Financial Crisis and Material Aid - Emergency Relief,Coffs Harbour - South,Coffs Harbour,Coffs Harbour - Grafton,Coffs Harbour (C),Cowper,-30.3002076,153.1168582,N,,
Lifeline South East (SA) Inc.,Lifeline South East (SA) Inc.,<a href='https://www.lifeline.org.au/About-Lifeline/Lifeline-Locations/South-East-SA/home'>https://www.lifeline.org.au/About-Lifeline/Lifeline-Locations/South-East-SA/home</a>,5 Mark Street Mount Gambier SA 5290,Mount Gambier,5290,Financial Crisis and Material Aid - Emergency Relief,Mount Gambier,Limestone Coast,South Australia - South East,Mount Gambier (C),Barker,-37.8321242,140.7901246,N,,
Lightning Ridge Neighbourhood Centre Inc,Food For Families,<a href='http://www.winc.org.au/lightningridge.htm'>http://www.winc.org.au/lightningridge.htm</a>,39 Morilla St LIGHTNING RIDGE NSW 2834,LIGHTNING RIDGE,2834,Financial Crisis and Material Aid - Emergency Relief,Walgett - Lightning Ridge,Bourke - Cobar - Coonamble,Far West and Orana,Walgett (A),Parkes,-29.4271422,147.9795155,N,,
