OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Service Centre - Centrelink,Brunswick Heads,,3 Fingal Street,Brunswick Heads,NSW,2483,-28.54037,153.55171,,,,,
Service Centre - Centrelink/Medicare,Kawana Waters,,113 Point Cartwright Drive,Buddina,QLD,4575,-26.69948,153.13196,,,,,
Service Centre - Centrelink/Medicare,Bunbury,,54-56 Wittenoom Street,Bunbury,WA,6230,-33.32394,115.63525,,,,,
Service Centre - Centrelink/Medicare,Bundaberg,,26 Woongarra Street,Bundaberg,QLD,4670,-24.86614,152.35411,,,,,
Service Centre - Centrelink/Medicare,Burnie,,23 Marine Terrace,Burnie,TAS,7320,-41.05438,145.90715,,,,,
Service Centre - Centrelink/Medicare,Burwood,,56 Railway Parade,Burwood,NSW,2134,-33.87112,151.100969,,,,,
Service Centre - Centrelink,Busselton,,65 Duchess Street,Busselton,WA,6280,-33.64833,115.34546,,,,,
Service Centre - Centrelink/Medicare,Caboolture,,20-22 George Street,Caboolture,QLD,4510,-27.08205,152.94853,,,,,
Service Centre - Centrelink,Cabramatta,,251-257 Cabramatta Road,Cabramatta,NSW,2166,-33.89591,150.93409,,,,,
Service Centre - Centrelink,Cairns Jobseekers,,23 Aplin Street,Cairns,QLD,4870,-16.92161,145.77295,,,,,
Service Centre - Centrelink/Medicare,Seniors & Carers Cairns,,104 Grafton Street,Cairns,QLD,4870,-16.92229,145.77442,,,,,
Service Centre - Centrelink/Medicare,Caloundra,,54 Canberra Terrace,Caloundra,QLD,4551,-26.80413,153.13615,,,,,
Service Centre - Centrelink/Medicare,Camberwell,,527 Riversdale Road,Camberwell,VIC,3124,-37.83132,145.05795,,,,,
Service Centre - Centrelink/Medicare,Camden,,16-22 Murray Street,Camden,NSW,2570,-34.05617,150.69418,,,,,
Service Centre - Centrelink/Medicare,Campbelltown,,8-10 Browne Street,Campbelltown,NSW,2560,-34.06518,150.81721,,,,,
Service Centre - Centrelink/Medicare,Campsie,,19-21 Anglo Road,Campsie,NSW,2194,-33.91096,151.10231,,,,,
Service Centre - Centrelink/Medicare,Cannington,,1290-1298 Albany Highway,Cannington,WA,6107,-32.01518,115.92928,,,,,
Service Centre - Centrelink,Whitsunday,,224 Shute Harbour Road,Cannonvale,QLD,4802,-20.27667,148.70042,,,,,
Service Centre - Centrelink/Medicare,Capalaba,,42 Redland Bay Road,Capalaba,QLD,4157,-27.52385,153.19258,,,,,
